WAR Rank,Name,Team,Pos,PA,IP,Primary WAR,Total WAR,,,,,
1,Mike Trout,Angels,CF,600,,8.6,8.6,,,,,
2,Alex Bregman,Astros,3B/SS,690,,8.5,8.5,,,,,
3,Christian Yelich,Brewers,RF,580,,7.8,7.8,,,,,
4,Cody Bellinger,Dodgers,RF,660,,7.8,7.8,,,,,
5,Jacob deGrom,Mets,P,,204,7,7.6,,,,,
6,Marcus Semien,Athletics,SS,747,,7.6,7.6,,,,,
7,Gerrit Cole,Astros,P,,212.1,7.4,7.3,,,,,
8,Ketel Marte,Diamondbacks,2B/CF,628,,7.1,7.1,,,,,
9,Anthony Rendon,Nationals,3B,646,,7,7,,,,,
10,Xander Bogaerts,Red Sox,SS,698,,6.8,6.8,,,,,
11,Lance Lynn,Rangers,P,,208.1,6.8,6.7,,,,,
12,Mookie Betts,Red Sox,RF,706,,6.6,6.6,,,,,
13,Max Scherzer,Nationals,P,,172.1,6.5,6.6,,,,,
14,George Springer,Astros,RF/CF,556,,6.5,6.5,,,,,
15,Zack Greinke,- - -,P,,208.2,5.4,6.4,,,,,
16,Justin Verlander,Astros,P,,223,6.4,6.3,,,,,
17,Matt Chapman,Athletics,3B,670,,6.1,6.1,,,,,
18,Charlie Morton,Rays,P,,194.2,6.1,6,,,,,
19,Rafael Devers,Red Sox,3B,702,,5.9,5.9,,,,,
20,Nolan Arenado,Rockies,3B,662,,5.9,5.9,,,,,
21,Stephen Strasburg,Nationals,P,,209,5.7,5.9,,,,,
22,Trevor Story,Rockies,SS,656,,5.8,5.8,,,,,
23,J.T. Realmuto,Phillies,C,593,,5.7,5.7,,,,,
24,Yoan Moncada,White Sox,3B,559,,5.7,5.7,,,,,
25,Ronald Acuna Jr.,Braves,CF/LF,715,,5.6,5.6,,,,,
26,Shane Bieber,Indians,P,,214.1,5.6,5.6,,,,,
27,DJ LeMahieu,Yankees,2B/3B,655,,5.4,5.4,,,,,
28,Zack Wheeler,Mets,P,,195.1,4.7,5.3,,,,,
29,Yasmani Grandal,Brewers,C,632,,5.2,5.2,,,,,
30,Hyun-Jin Ryu,Dodgers,P,,182.2,4.8,5.1,,,,,
12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,12345678910...  Page size:  select  1410 items in 47 pages,,,,,
